entrezid	symbol
113868	Acaa1a
235674	Acaa1b
11363	Acadl
11364	Acadm
11430	Acox1
93732	Acox2
80911	Acox3
94180	Acsbg1
328845	Acsbg2
78625	Acsbg3
14081	Acsl1
74205	Acsl3
50790	Acsl4
433256	Acsl5
216739	Acsl6
11450	Adipoq
57875	Angptl4
11806	Apoa1
11807	Apoa2
66113	Apoa5
11814	Apoc3
11832	Aqp7
12491	Cd36
12894	Cpt1a
12895	Cpt1b
78070	Cpt1c
12896	Cpt2
104086	Cyp27a1
13117	Cyp4a10
277753	Cyp4a12a
13118	Cyp4a12b
13119	Cyp4a14
230639	Cyp4a29
435802	Cyp4a30b
666168	Cyp4a31
100040843	Cyp4a32
13124	Cyp8b1
13167	Dbi
13168	Dbil5
74147	Ehhadh
14080	Fabp1
14079	Fabp2
14077	Fabp3
11770	Fabp4
16592	Fabp5
16204	Fabp6
12140	Fabp7
56473	Fads2
14933	Gk
14626	Gk2
208715	Hmgcs1
15360	Hmgcs2
16202	Ilk
16956	Lpl
17436	Me1
109264	Me3
83996	Mmp1b
22259	Nr1h3
108078	Olr1
18534	Pck1
74551	Pck2
18607	Pdpk1
103968	Plin1
11520	Plin2
57435	Plin4
66968	Plin5
18830	Pltp
19013	Ppara
19015	Ppard
19016	Pparg
20181	Rxra
20182	Rxrb
20183	Rxrg
20249	Scd1
20250	Scd2
30049	Scd3
329065	Scd4
20280	Scp2
26457	Slc27a1
26458	Slc27a2
26569	Slc27a4
26459	Slc27a5
225579	Slc27a6
20411	Sorbs1
22190	Ubc
22227	Ucp1
