cpd_id	BC_0d_1	BC_0d_2	BC_0d_3	BC_0d_4	BC_3d_1	BC_3d_2	BC_3d_3	BC_3d_4	Veh_0d_1	Veh_0d_2	Veh_0d_3	Veh_0d_4	Veh_3d_1	Veh_3d_2	Veh_3d_3	Veh_3d_4
CAS006868-73-1	0.099595644	0.091670833	0.095457171	0.054920543	0.085344311	0.071976623	0.057584731	0.1010702	0.034279431	0.08696122	0.092234084	0.0760228	0.045557198	0.1103998	0.057682192	0.06074215
CAS10325-79-8	0.000556443	0.000290278	0.000334185	0.000283801	0.000476596	0.00025974	0.000341753	0.0001974	0.000258768	0.000321063	0.000300294	0.0006804	0.000401751	0.0002058	0.00040137	0.000131874
CAS1053-37-8	0.000195644	0.000184722	0.00016778	0.000129231	0.000180019	0.000188312	0.000176814	0.0001204	1.90E-06	0.000365157	0.000165916	0.000182	0.000159339	0.0001652	0.000147945	0.000195814
CAS1499-46-3	0.254004719	0.300563889	0.268148134	0.248455023	0.259051804	0.281479221	0.184108577	0.2422322	0.2077109	0.215520079	0.224906366	0.2410422	0.239498054	0.2202844	0.220838356	0.288062988
CAS15173-54-3	0.000142287	0.000172222	0.000159528	0.000158371	0.000167068	0.000141558	0.00013459	0.0001596	0.000147299	0.00018189	0.000145348	0.0001596	0.000138911	0.0001428	0.000146575	0.000151855
CAS23945-44-0	0.053274955	0.058141667	0.050731434	0.061346606	0.064585199	0.057176623	0.049122714	0.0659008	0.050572512	0.079474803	0.0355238	0.055426	0.041664981	0.0577262	0.040606849	0.046282588
CAS24404-83-9	0.000876588	0.000675	0.001217092	1.27E-06	0.000843108	0.001227273	0.001126861	0.0016954	1.15E-06	0.000964567	0.000829579	0.0010164	0.001252918	0.0004984	0.001231507	0.000648716
CAS2812-32-0	0.058966425	0.017279167	1.76E-06	0.027921448	0.062295467	0.159449351	0.076209614	0.0355726	0.061752607	0.00326437	0.077009598	0.1263682	0.067638521	0.085498	1.86E-06	0.100873264
CAS2955-27-3	0.096495826	0.189698611	0.081549312	0.08913629	0.056506383	0.017364935	0.007176814	0.0220598	0.029775545	0.139120866	0.041103232	0.0559692	0.013821595	0.001064	0.02810274	0.014951094
CAS4271-30-1	0.221011978	0.454301389	0.449592534	0.39397267	0.41613543	0.501612987	0.270795099	0.3982342	0.404554882	0.520562992	0.523419001	0.4610662	0.388182685	0.28084	0.330010959	0.343566127
