name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Muc2	627676.073517438	0.0712234057576089	0.313540853904239	0.227158294910308	0.820300655837045	0.999870748271689
COX1	451966.612352273	0.251173702527254	0.258132079771742	0.973043345675434	0.330531759549866	0.999870748271689
Ceacam1	144840.12453388	0.0724718567386098	0.340003667572185	0.213150220572911	0.831209794208796	0.999870748271689
Dmbt1	144871.08390347	0.187714852954714	0.336026937700821	0.558630371240787	0.576414008004761	0.999870748271689
Car1	110321.284357764	-0.00417342430522822	0.210970993681396	-0.0197819815530226	0.984217291709576	0.999870748271689
Muc3	72212.312585316	-0.117792927414949	0.354732542026678	-0.332061238988586	0.739843017836305	0.999870748271689
COX2	134957.836389928	0.183579605910796	0.29057044207886	0.631790365865821	0.527523869792075	0.999870748271689
Krt8	90300.3346120577	-0.0674477683256584	0.211133286999938	-0.319455872089361	0.749380848622506	0.999870748271689
ND5	105379.685233711	0.432971336810114	0.29883156425276	1.44888087004054	0.147370854353048	0.999870748271689
Eef1a1	70590.770423241	0.0665653768299624	0.215251579577658	0.30924454519948	0.757135511226437	0.999870748271689
ND4	97183.7386508085	0.20644434805629	0.236811131809616	0.871767921037854	0.383334998186484	0.999870748271689
Eef2	58497.8086764069	0.0464522768085311	0.222606934401928	0.208673988226527	0.834702747488134	0.999870748271689
LOC118568683	58532.3137292372	-0.0569564567010495	0.197505669438247	-0.288378844329113	0.773056759973517	0.999870748271689
Sprr2a2	84935.5019462291	-0.315998637176642	0.358551479877855	-0.881320130889685	0.378144573209352	0.999870748271689
Pigr	58830.8391716445	0.0908387521632808	0.272854454940191	0.332920172343136	0.739194541885073	0.999870748271689
CYTB	91102.4292158838	0.198652542123283	0.257993453204439	0.769990632149361	0.441305449616071	0.999870748271689
Lypd8	64155.98718474	-0.0290921738404051	0.246296135001524	-0.11811867790871	0.905973624222022	0.999870748271689
Sprr2a1	62504.0179471652	-0.369711861714841	0.336976698598163	-1.09714369940966	0.272578579919915	0.999870748271689
LOC118568705	54888.3814219105	-0.014952125883087	0.180548260780275	-0.0828151200043049	0.93399854640232	0.999870748271689
Atp1a1	35759.6768556028	0.122904013570143	0.391652045581849	0.313809196087701	0.753665959489231	0.999870748271689
COX3	68735.1880875731	0.286142137431185	0.224223224098589	1.27614852824242	0.201903019733418	0.999870748271689
Fcgbp	29207.3309358353	0.186074071925865	0.488170409686553	0.381166224403771	0.703079909719703	0.999870748271689
ND1	63290.9561951123	0.253933019026078	0.262632081982309	0.966877378838976	0.333605336311691	0.999870748271689
ATP6	63827.4494336534	-0.0258927654483571	0.302238972100815	-0.0856698435293789	0.931728875345953	0.999870748271689
Lgals4	46455.6417506136	-0.152384876782532	0.196989889106085	-0.773566996123688	0.439186895579942	0.999870748271689
Muc13	38861.158484693	-0.0964949031690601	0.30632965000082	-0.315003471485055	0.752759018087946	0.999870748271689
Krt19	42463.6312799767	-0.121658046706377	0.19723064871305	-0.616831346954479	0.537345973482357	0.999870748271689
Cyp2c55	36293.8278814785	0.295562905678544	0.292623126685683	1.01004629752323	0.31247310931609	0.999870748271689
Hmgcs2	36159.7200982015	-0.0131567812669355	0.228860830951177	-0.0574881302853535	0.954156361132253	0.999870748271689
Actb	40004.6802046509	0.00203197111727227	0.254665012466343	0.00797899600574624	0.993633749826938	0.999881916731834
Actg1	29492.0555839608	0.129129316743221	0.302207963224716	0.427286281159979	0.669170823862054	0.999870748271689
Muc3a	44764.97223409	-0.611135692879122	0.247349031388902	-2.47074221171396	0.0134832975948581	0.999870748271689
Neat1	49396.2994008649	-0.277596256187215	0.338727668394544	-0.819526369082658	0.412486163663943	0.999870748271689
Myo15b	35759.7302227148	-0.377170820450747	0.220315171544445	-1.71196026949355	0.0869039905078243	0.999870748271689
B4galnt2	20442.2127781294	-0.0765705942273409	0.384626998629659	-0.199077533558864	0.842202095099155	0.999870748271689
Abcb1a	21338.4958466763	0.408446653003079	0.409626785361103	0.997119005884872	0.318706748714646	0.999870748271689
ND2	37529.3079335242	0.333151082115073	0.241537486237839	1.37929348899087	0.167804283210656	0.999870748271689
Emp1	17825.4453758024	-0.0358106241426041	0.360190082201689	-0.0994214608123269	0.920803643915602	0.999870748271689
Hspa8	27885.2261481898	0.257208792744893	0.247051693246836	1.04111325595291	0.29782298801692	0.999870748271689
Tgoln1	17521.4572033298	0.0758487979373879	0.412364137029373	0.183936455977463	0.854063304968478	0.999870748271689
Spint2	31675.2904023853	-0.290155561443072	0.277002105307141	-1.04748504030808	0.29487592822077	0.999870748271689
H2-K1	32049.1324945959	-0.203229041194977	0.334805245299008	-0.607006742123998	0.543846437808251	0.999870748271689
Atp2a3	20368.1920234217	-0.0139172587728662	0.249999951751562	-0.0556690458352429	0.955605459092882	0.999870748271689
Atp5a1	19919.2119098011	0.238173852840592	0.299897415574615	0.794184412640708	0.427088081481264	0.999870748271689
