cpd_id	cpd_name
cpd_001	1-methylguanine
cpd_002	1-methylguanosine
cpd_003	1-methylhistamine
cpd_004	1-methylnicotinamide
cpd_005	21-deoxycortisol
cpd_006	2-aminoheptanoic acid
cpd_007	2-deoxyadenosine
cpd_008	2-deoxycytidine
cpd_009	2^-O-methyladenosine
cpd_010	3-methylhistidine
cpd_011	3-methylxanthine
cpd_012	3^-O-methyladenosine
cpd_013	4-aminophenol
cpd_014	4-guanidinobutanoic acid
cpd_015	4-hydroxy-3-methylacetophenone
cpd_016	5-acetylamino-6-amino-3-methyluracil
cpd_017	5-aminolevulinic acid
cpd_018	5-hydroxytryptophan
cpd_019	7-methylguanine
cpd_020	7-methylxanthine
cpd_021	8-hydroxy-deoxyguanosine
cpd_022	acetaminophen
cpd_023	acetylcholine
cpd_024	acetyl-galactosamine
cpd_025	adenosine
cpd_026	ADMA/SDMA
cpd_027	agmatine
cpd_028	alanine
cpd_029	alanylalanine
cpd_030	alloisoleucine
cpd_031	alpha-glycerophosphocholine
cpd_032	alpha-hydroxymetoprolol
cpd_033	aminoisobutyric acid/GABA
cpd_034	anserine
cpd_035	arginine
cpd_036	aspartate
cpd_037	atenolol
cpd_038	beta-alanine
cpd_039	beta-guanidinopropionic acid
cpd_040	betaine
cpd_041	bilirubin
cpd_042	biliverdin
cpd_043	biotin
cpd_044	butyrobetaine
cpd_045	C10:2 carnitine
cpd_046	C10 carnitine
cpd_047	C12:1 carnitine
cpd_048	C12 carnitine
cpd_049	C14:0 LPC
cpd_050	C14:0 SM
cpd_051	C14:1 carnitine
cpd_052	C14:2 carnitine
cpd_053	C14 carnitine
cpd_054	C16:0 LPC
cpd_055	C16:0 LPE
cpd_056	C16:0 SM
cpd_057	C16:1 LPC
cpd_058	C16:1 LPC plasmalogen
cpd_059	C16 carnitine
cpd_060	C16-OH carnitine
cpd_061	C18:0 LPC
cpd_062	C18:0 LPE-A
cpd_063	C18:0 LPE-B
cpd_064	C18:1 carnitine
cpd_065	C18:1 LPC
cpd_066	C18:1 LPC plasmalogen
cpd_067	C18:1-OH carnitine
cpd_068	C18:2 carnitine
cpd_069	C18:2 LPC
cpd_070	C18:3 LPC
cpd_071	C18 carnitine
cpd_072	C20:1 LPC
cpd_073	C20:4 carnitine
cpd_074	C20 carnitine
cpd_075	C22:6 LPE
cpd_076	C2 carnitine
cpd_077	C36:2 PC
cpd_078	C3 carnitine
cpd_079	C3-DC-CH3 carnitine
cpd_080	C4 carnitine
cpd_081	C5 carnitine
cpd_082	C8 carnitine
cpd_083	C9 carnitine
cpd_084	cadaverine
cpd_085	caffeine
cpd_086	carnitine
cpd_087	choline
cpd_088	citrulline
cpd_089	cortisol
cpd_090	cotinine
cpd_091	creatine
cpd_092	creatinine
cpd_093	cytidine
cpd_094	cytosine
cpd_095	diacetylspermine
cpd_096	dimethylglycine
cpd_097	ectoine
cpd_098	gabapentin
cpd_099	glutamate
cpd_100	glutamine
cpd_101	glycine
cpd_102	guanidoacetic acid
cpd_103	hippurate
cpd_104	histamine
cpd_105	histidine
cpd_106	histidinol
cpd_107	homoarginine
cpd_108	homocitrulline
cpd_109	hydroxycotinine
cpd_110	hydroxyproline
cpd_111	hypoxanthine
cpd_112	imidazoleacetic acid
cpd_113	imidazole propionate
cpd_114	inosine
cpd_115	isoleucine
cpd_116	kynurenic acid
