"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","change","symbol","ENTREZID"
3.97959918506283e-95,0.663836274620563,0.969,0.904,7.35628909358864e-91,"up","Rps29","20090"
1.36909065182249e-88,0.584190673059656,0.975,0.926,2.53076406989387e-84,"up","Rpl41","67945"
3.31253949771191e-87,0.910828551906585,0.834,0.675,6.12322926152046e-83,"up","Gm10076","100126819"
8.84435636724122e-75,0.704061567554843,0.933,0.827,1.63487927448454e-70,"up","Rpl37","67281"
2.21520390413195e-67,0.6142147805971,0.937,0.89,4.0948044167879e-63,"up","Rps27","57294"
3.01060948040677e-67,0.508405165545744,0.982,0.953,5.56511162453191e-63,"up","Rpl37a","19981"
9.50603641817767e-61,0.578984492164053,0.932,0.858,1.75719083190014e-56,"up","Rpl38","67671"
5.72432886416284e-60,0.611454471076922,0.924,0.827,1.0581421905405e-55,"up","Rps21","66481"
3.75094123126497e-58,0.689208554081931,0.903,0.824,6.9336148659933e-54,"up","Rpl39","67248"
1.94203387422863e-57,0.554600812316326,0.939,0.859,3.58984961651163e-53,"up","Rps28","54127"
1.59115618225044e-44,-1.03828765748156,0.943,0.988,2.94125220288994e-40,"down","Lars2","102436"
1.84740947755913e-39,0.47553146223042,0.935,0.858,3.41493641926804e-35,"up","Rpl34","68436"
1.31660749074595e-38,0.494874603638193,0.919,0.816,2.4337489466439e-34,"up","Rpl35","66489"
1.0918528585427e-36,0.406290311127534,0.946,0.882,2.01829000901619e-32,"up","Rpl35a","57808"
1.49964673513194e-34,0.418987246223776,0.96,0.918,2.7720969898914e-30,"up","Rps26","27370"
6.26414979647565e-34,0.327233324446849,0.975,0.948,1.15792808987852e-29,"up","Fau","14109"
5.26165538845779e-33,0.566595367310913,0.87,0.806,9.72616998556423e-29,"up","Cox8a","12868"
3.95874163616568e-32,0.539187400156829,0.856,0.775,7.31773391445226e-28,"up","Cox7c","12867"
7.15358243465024e-31,0.462346712297342,0.889,0.821,1.3223397130451e-26,"up","Rps17","20068"
1.3133804121797e-30,0.36601518077531,0.973,0.939,2.42778369191418e-26,"up","Rps14","20044"
2.0312325515023e-30,0.691689081956624,0.859,0.754,3.754733371452e-26,"up","Mt1","17748"
2.41952171943191e-30,0.560499631053603,0.831,0.753,4.47248589836988e-26,"up","Cox6c","12864"
1.83538735282568e-29,0.506191272097237,0.85,0.707,3.39271352169827e-25,"up","Uqcr11","66594"
8.64670757006531e-29,0.411740337952903,0.917,0.833,1.59834389432657e-24,"up","Rpl22","19934"
1.53946641219947e-28,0.503297442511552,0.826,0.716,2.84570366295073e-24,"up","Cox7b","66142"
3.68760821112082e-28,0.409656645562138,0.871,0.809,6.81654377825684e-24,"up","Uqcr10","66152"
1.14101079813623e-27,0.599797908644968,0.779,0.682,2.10915846035483e-23,"up","Cox7a2","12866"
1.38362930242725e-27,0.354607984099552,0.934,0.884,2.55763876553677e-23,"up","Rpl27","19942"
3.42535744302623e-27,0.657920114448524,0.7,0.583,6.33177323343398e-23,"up","Ndufc1","66377"
1.08744790418373e-26,0.439482175751356,0.908,0.828,2.01014745088363e-22,"up","Rpl30","19946"
2.48285558060288e-26,0.568482858317784,0.719,0.586,4.58955854074442e-22,"up","Tomm7","66169"
3.65900474530405e-26,0.437256369332425,0.934,0.881,6.76367027169455e-22,"up","Rps15a","267019"
9.98751068968719e-26,0.493276967194371,0.822,0.72,1.84619135098868e-21,"up","Rpl36a","19982"
1.29115786467214e-25,0.364533634078463,0.959,0.925,2.38670531284646e-21,"up","Rpl23","65019"
1.52323543855665e-24,0.490038774879099,0.772,0.65,2.81570070817197e-20,"up","Sem1","20422"
3.67931834123307e-24,0.274815675912941,0.986,0.973,6.80121995376933e-20,"up","Rps8","20116"
5.0255683886705e-24,0.592872451210758,0.709,0.564,9.28976316645742e-20,"up","Ubl5","66177"
5.52026551111508e-24,0.33118735076894,0.895,0.84,1.02042107972962e-19,"up","Serf2","378702"
6.06805802545862e-24,-0.837353930120265,0.817,0.901,1.12168052600603e-19,"down","Gm26917","119086081"
1.92359067624714e-23,0.625945583954439,0.66,0.517,3.55575736504283e-19,"up","Tmem258","69038"
3.93470530337376e-23,0.281460292637296,0.969,0.937,7.27330275328639e-19,"up","Rplp2","67186"
